loan_term,cibil_score,loan_status,LTI_Category,LTV_Category,DTI_Category
0.19261651149360004,1.0327924065085647,1,1.0,0.0,1.0
-0.5080906785926198,-1.0610511817096373,0,0.0,1.0,2.0
1.5940308916660397,-0.5448404355838201,0,1.0,0.0,0.0
-0.5080906785926198,-0.7710451445603018,0,1.0,0.0,2.0
1.5940308916660397,-1.2640554077141721,0,0.0,0.0,0.0
-0.15773708354950988,-1.6294630145223348,0,0.0,0.0,1.0
-1.2087978686788396,0.45278033220989383,1,1.0,0.0,3.0
1.5940308916660397,-1.2640554077141721,0,0.0,0.0,0.0
1.5940308916660397,1.0559928894805115,1,0.0,0.0,0.0
-0.15773708354950988,-1.2292546832562519,0,1.0,0.0,2.0
-1.5591514637219497,-0.307035485121365,1,1.0,0.0,3.0
1.24367729662293,-0.3592365718082454,0,1.0,0.0,0.0
0.8933237015798199,-1.6758639804662283,0,0.0,0.0,0.0
0.54297010653671,0.4585804529528806,1,1.0,0.0,1.0
-0.8584442736357297,-0.7594449030743283,0,1.0,1.0,3.0
-0.15773708354950988,1.125594338396352,1,0.0,0.0,1.0
-1.2087978686788396,0.36577852106509323,1,1.0,0.0,3.0
0.54297010653671,1.0443926479945382,1,1.0,0.0,1.0
-0.15773708354950988,0.789187335303123,1,1.0,3.0,2.0
0.19261651149360004,0.3019771928922394,1,0.0,0.0,0.0
0.19261651149360004,-1.6526634974942815,0,1.0,0.0,1.0
0.8933237015798199,-0.4056375377521391,0,0.0,0.0,0.0
1.24367729662293,-1.6758639804662283,0,1.0,1.0,1.0
-1.5591514637219497,-0.2838350021494182,1,0.0,0.0,3.0
0.8933237015798199,-1.6004624108074013,0,0.0,0.0,0.0
1.5940308916660397,-0.4984394696399264,0,1.0,0.0,0.0
0.19261651149360004,0.5571825055836546,1,1.0,0.0,1.0
-1.2087978686788396,0.3599784003221065,1,0.0,0.0,3.0
-0.8584442736357297,-1.5308609618915607,0,1.0,0.0,3.0
-0.15773708354950988,1.450401100003608,1,1.0,0.0,1.0
0.19261651149360004,-1.664263738980255,0,0.0,0.0,1.0
-0.8584442736357297,-1.3742577018309194,0,0.0,0.0,2.0
-0.15773708354950988,-0.9508488875928898,0,0.0,0.0,0.0
-1.5591514637219497,1.3343986851438736,1,0.0,1.0,3.0
-0.5080906785926198,0.06997236317277106,1,0.0,0.0,1.0
-0.5080906785926198,0.528181901868721,1,0.0,0.0,1.0
1.24367729662293,0.20917526100445208,1,1.0,0.0,1.0
-0.8584442736357297,-1.4612595129757202,0,1.0,2.0,3.0
0.8933237015798199,1.3343986851438736,1,0.0,0.0,0.0
-0.8584442736357297,-1.4380590300037732,0,1.0,1.0,3.0
-1.5591514637219497,0.649984437471442,1,0.0,0.0,3.0
0.8933237015798199,1.2879977191999799,1,0.0,0.0,0.0
-0.8584442736357297,-0.347636330322272,0,0.0,0.0,2.0
0.19261651149360004,-1.4960602374336405,0,0.0,0.0,1.0
1.24367729662293,1.0849934931954452,1,0.0,0.0,0.0
0.8933237015798199,-1.5598615656064942,0,1.0,0.0,1.0
-0.8584442736357297,0.4585804529528806,1,1.0,1.0,3.0
0.54297010653671,0.44698021146690714,1,1.0,0.0,1.0
0.19261651149360004,0.19757501951847864,1,1.0,0.0,1.0
0.8933237015798199,0.3599784003221065,1,0.0,0.0,0.0
0.8933237015798199,-0.568040918555767,0,1.0,1.0,1.0
-0.15773708354950988,-0.9566490083358764,0,0.0,0.0,1.0
-1.2087978686788396,0.5165816603827477,1,0.0,0.0,2.0
0.19261651149360004,0.33097779660717297,1,0.0,0.0,1.0
1.5940308916660397,-0.057630293172936546,1,1.0,0.0,0.0
